"Dates","Transpiration Rate Column"
2023-06-21,"Transpiration_Rate_1"
2023-06-22,"Transpiration_Rate_2"
2023-06-23,"Transpiration_Rate_3"
2023-06-26,"Transpiration_Rate_4"
2023-06-27,"Transpiration_Rate_5"
2023-06-28,"Transpiration_Rate_6"
2023-06-29,"Transpiration_Rate_7"
2023-07-03,"Transpiration_Rate_8"
2023-07-05,"Transpiration_Rate_9"
2023-07-06,"Transpiration_Rate_10"
2023-07-07,"Transpiration_Rate_11"
2023-07-10,"Transpiration_Rate_12"
2023-07-11,"Transpiration_Rate_13"
2023-07-12,"Transpiration_Rate_14"
2023-07-13,"Transpiration_Rate_15"
2023-07-17,"Transpiration_Rate_16"
2023-07-18,"Transpiration_Rate_17"
2023-07-19,"Transpiration_Rate_18"
2023-07-20,"Transpiration_Rate_19"
2023-07-24,"Transpiration_Rate_20"
2023-07-25,"Transpiration_Rate_21"
2023-07-26,"Transpiration_Rate_22"
2023-07-27,"Transpiration_Rate_23"
2023-07-31,"Transpiration_Rate_24"
2023-08-01,"Transpiration_Rate_25"
2023-08-02,"Transpiration_Rate_26"
2023-08-03,"Transpiration_Rate_27"
2023-08-07,"Transpiration_Rate_28"
2023-08-08,"Transpiration_Rate_29"
2023-08-09,"Transpiration_Rate_30"
2023-08-10,"Transpiration_Rate_31"
2023-08-14,"Transpiration_Rate_32"
2023-08-15,"Transpiration_Rate_33"
2023-08-16,"Transpiration_Rate_34"
