"ID","06/23/23","06/26/23","06/29/23","07/03/23","07/06/23","07/10/23","07/13/23","07/17/23","07/20/23","07/24/23","07/27/23","07/31/23","08/03/23","08/07/23","08/10/23"
"NM04",10,20,10,20,10,20,10,20,10,20,10,20,10,20,10
"NM05",10,20,10,20,10,20,10,20,10,20,10,20,10,20,10
"NM09",10,20,10,20,10,20,10,20,10,20,10,20,10,20,10
"NM37",10,20,10,20,10,20,10,20,10,20,10,20,10,20,10
"R+S02",10,20,10,20,10,20,10,20,10,20,10,20,10,20,10
"R+S06",10,20,10,20,10,20,10,20,10,20,10,20,10,20,10
"R+S09",10,20,10,20,10,20,10,20,10,20,10,20,10,20,10
"RP09",10,20,10,20,10,20,10,20,10,20,10,20,10,20,10
"S+T07",10,20,10,20,10,20,10,20,10,20,10,20,10,20,10
"S+T13",10,20,10,20,10,20,10,20,10,20,10,20,10,20,10
"SP07",10,20,10,20,10,20,10,20,10,20,10,20,10,20,10
"SP12",10,20,10,20,10,20,10,20,10,20,10,20,10,20,10
"SP13",10,20,10,20,10,20,10,20,10,20,10,20,10,20,10
"SP35",10,20,10,20,10,20,10,20,10,20,10,20,10,20,10
"TC04",10,20,10,20,10,20,10,20,10,20,10,20,10,20,10
"TC09",10,20,10,20,10,20,10,20,10,20,10,20,10,20,10
"TC12",10,20,10,20,10,20,10,20,10,20,10,20,10,20,10
"NM02",10,20,10,20,10,20,10,20,10,20,10,20,10,20,NA
"NM33",10,20,10,20,10,20,10,20,10,20,10,20,10,20,NA
"R+S03",10,20,10,20,10,20,10,20,10,20,10,20,10,20,NA
"RP08",10,20,10,20,10,20,10,20,10,20,10,20,10,20,NA
"S+T11",10,20,10,20,10,20,10,20,10,20,10,20,10,20,NA
"SP08",10,20,10,20,10,20,10,20,10,20,10,20,10,20,NA
"SP36",10,20,10,20,10,20,10,20,10,20,10,20,10,20,NA
"TC02",10,20,10,20,10,20,10,20,10,20,10,20,10,20,NA
"NM11",10,20,10,20,10,20,10,20,10,20,10,20,10,NA,NA
"NM36",10,20,10,20,10,20,10,20,10,20,10,20,10,NA,NA
"R+S07",10,20,10,20,10,20,10,20,10,20,10,20,10,NA,NA
"RP02",10,20,10,20,10,20,10,20,10,20,10,20,10,NA,NA
"SP09",10,20,10,20,10,20,10,20,10,20,10,20,10,NA,NA
"SP29",10,20,10,20,10,20,10,20,10,20,10,20,10,NA,NA
"TC06",10,20,10,20,10,20,10,20,10,20,10,20,10,NA,NA
"TC07",10,20,10,20,10,20,10,20,10,20,10,20,10,NA,NA
"NM08",10,20,10,20,10,20,10,20,10,20,10,20,NA,NA,NA
"NM35",10,20,10,20,10,20,10,20,10,20,10,20,NA,NA,NA
"RP06",10,20,10,20,10,20,10,20,10,20,10,20,NA,NA,NA
"S+T04",10,20,10,20,10,20,10,20,10,20,10,20,NA,NA,NA
"SP04",10,20,10,20,10,20,10,20,10,20,10,20,NA,NA,NA
"SP10",10,20,10,20,10,20,10,20,10,20,10,20,NA,NA,NA
"TC05",10,20,10,20,10,20,10,20,10,20,10,20,NA,NA,NA
"NM06",10,20,10,20,10,20,10,20,10,20,10,NA,NA,NA,NA
"R+S04",10,20,10,20,10,20,10,20,10,20,10,NA,NA,NA,NA
"RP01",10,20,10,20,10,20,10,20,10,20,10,NA,NA,NA,NA
"S+T09",10,20,10,20,10,20,10,20,10,20,10,NA,NA,NA,NA
"SP02",10,20,10,20,10,20,10,20,10,20,10,NA,NA,NA,NA
"SP14",10,20,10,20,10,20,10,20,10,20,10,NA,NA,NA,NA
"TC10",10,20,10,20,10,20,10,20,10,20,10,NA,NA,NA,NA
"NM03",10,20,10,20,10,20,10,20,10,20,NA,NA,NA,NA,NA
"S+T02",10,20,10,20,10,20,10,20,10,20,NA,NA,NA,NA,NA
"S+T05",10,20,10,20,10,20,10,20,10,20,NA,NA,NA,NA,NA
"SP31",10,20,10,20,10,20,10,20,10,20,NA,NA,NA,NA,NA
"SP37",10,20,10,20,10,20,10,20,10,20,NA,NA,NA,NA,NA
"TC01",10,20,10,20,10,20,10,20,10,20,NA,NA,NA,NA,NA
"TC08",10,20,10,20,10,20,10,20,10,20,NA,NA,NA,NA,NA
"NM12",10,20,10,20,10,20,10,20,10,NA,NA,NA,NA,NA,NA
"R+S05",10,20,10,20,10,20,10,20,10,NA,NA,NA,NA,NA,NA
"RP03",10,20,10,20,10,20,10,20,10,NA,NA,NA,NA,NA,NA
"RP05",10,20,10,20,10,20,10,20,10,NA,NA,NA,NA,NA,NA
"S+T01",10,20,10,20,10,20,10,20,10,NA,NA,NA,NA,NA,NA
"SP11",10,20,10,20,10,20,10,20,10,NA,NA,NA,NA,NA,NA
"SP33",10,20,10,20,10,20,10,20,10,NA,NA,NA,NA,NA,NA
"NM07",10,20,10,20,10,20,10,20,NA,NA,NA,NA,NA,NA,NA
"NM13",10,20,10,20,10,20,10,20,NA,NA,NA,NA,NA,NA,NA
"S+T03",10,20,10,20,10,20,10,20,NA,NA,NA,NA,NA,NA,NA
"SP01",10,20,10,20,10,20,10,20,NA,NA,NA,NA,NA,NA,NA
"SP32",10,20,10,20,10,20,10,20,NA,NA,NA,NA,NA,NA,NA
"SP34",10,20,10,20,10,20,10,20,NA,NA,NA,NA,NA,NA,NA
"TC14",10,20,10,20,10,20,10,20,NA,NA,NA,NA,NA,NA,NA
"NM34",10,20,10,20,10,20,10,NA,NA,NA,NA,NA,NA,NA,NA
"NM38",10,20,10,20,10,20,10,NA,NA,NA,NA,NA,NA,NA,NA
"R+S01",10,20,10,20,10,20,10,NA,NA,NA,NA,NA,NA,NA,NA
"S+T14",10,20,10,20,10,20,10,NA,NA,NA,NA,NA,NA,NA,NA
"SP06",10,20,10,20,10,20,10,NA,NA,NA,NA,NA,NA,NA,NA
"SP30",10,20,10,20,10,20,10,NA,NA,NA,NA,NA,NA,NA,NA
"TC11",10,20,10,20,10,20,10,NA,NA,NA,NA,NA,NA,NA,NA
"NM01",10,20,10,20,10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NM31",10,20,10,20,10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R+S10",10,20,10,20,10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
