ID,sample06/19/23,Time06/19/23,sample06/21/23,Time06/21/23,sample06/22/23,Time06/22/23,sample06/23/23,Time06/23/23,sample06/26/23,Time06/26/23,sample06/27/23,Time06/27/23,sample06/28/23,Time06/28/23,sample06/29/23,Time06/29/23,sample07/03/23,Time07/03/23,sample07/05/23,Time07/05/23,sample07/06/23,Time07/06/23,sample07/07/23,Time07/07/23,sample07/10/23,Time07/10/23,sample07/11/23,Time07/11/23,sample07/12/23,Time07/12/23,sample07/13/23,Time07/13/23,sample07/17/23,Time07/17/23,sample07/18/23,Time07/18/23,sample07/19/23,Time07/19/23,sample07/20/23,Time07/20/23,sample07/24/23,Time07/24/23,sample07/25/23,Time07/25/23,sample07/26/23,Time07/26/23,sample07/27/23,Time07/27/23,sample07/31/23,Time07/31/23,sample08/01/23,Time08/01/23,sample08/02/23,Time08/02/23,sample08/03/23,Time08/03/23,sample08/07/23,Time08/07/23,sample08/08/23,Time08/08/23,sample08/09/23,Time08/09/23,sample08/10/23,Time08/10/23,sample08/14/23,Time08/14/23,sample08/15/23,Time08/15/23,sample08/16/24,Time08/16/25,Harvest Date
NM33,74.30,6/19/23 18:20,67.1,6/21/23 17:05,63.2,6/22/23 17:00,69.10,6/23/23 17:20,77.30,6/26/23 15:30,73.1,6/27/23 18:20,70,6/28/2023 14:30:00,76.70,6/29/23 18:10,83.10,7/3/23 16:30,76.3,7/5/23 11:00,81.00,7/6/23 17:50,76.8,7/7/23 18:15,83.7,7/10/23 17:50,79.9,7/11/12 15:35,,,81.20,7/13/23 18:35,86.80,7/17/23 13:00,81.6,7/18/23 18:00,,,83.80,7/20/23 15:00,87.20,7/24/23 16:50,,,,,84.30,7/27/23 16:40,82.80,7/31/23 17:40,78.1,8/1/23 16:15,,,77.7,8/3/23 16:00,78.50,8/7/23 11:30,73.4,8/8/23 15:42,,,,,,,,,,,
NM32,70.00,6/19/23 18:20,63.1,6/21/23 17:05,58.9,6/22/23 17:00,65.00,6/23/23 17:20,73.90,6/26/23 15:30,69.5,6/27/23 18:20,66.1,6/28/2023 14:30:00,71.60,6/29/23 18:10,75.50,7/3/23 16:30,69.6,7/5/23 11:00,73.60,7/6/23 17:50,69.3,7/7/23 18:15,56.9,7/10/23 17:50,54.1,7/11/12 15:35,52.5,7/12/23 10:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM31,64.70,6/19/23 18:20,59.5,6/21/23 17:05,55.9,6/22/23 17:00,61.70,6/23/23 17:20,69.10,6/26/23 15:30,64.3,6/27/23 18:20,60.8,6/28/2023 14:30:00,66.10,6/29/23 18:10,66.70,7/3/23 16:30,60.1,7/5/23 11:00,63.70,7/6/23 17:50,60.6,7/7/23 9:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM29,67.40,6/19/23 18:20,62.3,6/21/23 17:05,58.4,6/22/23 17:00,64.10,6/23/23 17:20,71.70,6/26/23 15:30,67,6/27/23 18:20,63.4,6/28/2023 14:30:00,68.20,6/29/23 18:10,70.00,7/3/23 16:30,65.5,7/5/23 11:00,70.40,7/6/23 17:50,65.5,7/7/23 18:15,,7/10/23 17:50,51.3,7/11/12 15:35,50.1,7/12/23 9:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM38,68.30,6/19/23 18:20,62.7,6/21/23 17:05,58.1,6/22/23 17:00,63.60,6/23/23 17:20,72.50,6/26/23 15:30,68,6/27/23 18:20,63.3,6/28/2023 15:30:00,66.90,6/29/23 18:10,70.80,7/3/23 16:30,67.5,7/5/23 11:00,72.50,7/6/23 17:50,67.5,7/7/23 18:15,73.9,7/10/23 17:50,71.2,7/11/12 15:35,,,70.90,7/13/23 18:35,51.8,7/17/23 13:00,50,7/18/23 18:00,49.5,7/19/23 9:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM37,68.00,6/19/23 18:20,61.2,6/21/23 17:05,57.8,6/22/23 17:00,64.10,6/23/23 17:20,74.20,6/26/23 15:30,70.1,6/27/23 18:20,67.1,6/28/2023 15:30:00,73.10,6/29/23 18:10,76.50,7/3/23 16:30,69,7/5/23 11:00,73.00,7/6/23 17:50,68.2,7/7/23 18:15,73.9,7/10/23 17:50,70,7/11/12 15:35,,,70.50,7/13/23 18:35,74.30,7/17/23 13:00,68.9,7/18/23 18:00,,,70.30,7/20/23 15:00,72.60,7/24/23 16:50,,,,,70.00,7/27/23 16:40,71.30,7/31/23 17:40,67.8,8/1/23 16:15,,,69.6,8/3/23 16:00,74.40,8/7/23 11:30,,,,,70.8,8/10/23 17:30,74.5,8/14/23 16:30,70.9,8/15/23 16:33,,,
NM36,65.60,6/19/23 18:20,59.3,6/21/23 17:05,55.3,6/22/23 17:00,61.30,6/23/23 17:20,70.30,6/26/23 15:30,65.9,6/27/23 18:20,62.3,6/28/2023 15:30:00,67.40,6/29/23 18:10,69.30,7/3/23 16:30,63,7/5/23 11:00,67.30,7/6/23 17:50,62.5,7/7/23 18:15,69.4,7/10/23 17:50,66.2,7/11/12 15:35,,,67.70,7/13/23 18:35,70.60,7/17/23 13:00,65.2,7/18/23 18:00,,,66.40,7/20/23 15:00,68.00,7/24/23 16:50,,,,,66.80,7/27/23 16:40,68.20,7/31/23 17:40,65.2,8/1/23 16:15,,,67,8/3/23 16:00,50,8/7/23 11:30,46.7,8/8/23 17:30,45.9,8/9/23 10:11,,,,,,,,,
NM35,71.50,6/19/23 18:20,65.4,6/21/23 17:05,61.6,6/22/23 17:00,67.30,6/23/23 17:20,75.90,6/26/23 15:30,71.4,6/27/23 18:20,68.3,6/28/2023 15:30:00,74.40,6/29/23 18:10,76.50,7/3/23 16:30,69.5,7/5/23 11:00,73.30,7/6/23 17:50,68.6,7/7/23 18:15,73.3,7/10/23 17:50,71.1,7/11/12 15:35,,,72.10,7/13/23 18:35,73.20,7/17/23 13:00,67.2,7/18/23 18:00,,,68.70,7/20/23 15:00,69.10,7/24/23 16:50,,,,,69.90,7/27/23 16:40,69.70,7/31/23 17:40,67.5,8/1/23 9:45,,,,,,,,,,,,,,,,,,,
NM34,64.40,6/19/23 18:20,60,6/21/23 17:05,55.5,6/22/23 17:00,60.50,6/23/23 17:20,67.70,6/26/23 15:30,63.2,6/27/23 18:20,58.1,6/28/2023 16:00:00,62.20,6/29/23 18:10,65.90,7/3/23 16:30,63.2,7/5/23 11:00,69.00,7/6/23 17:50,64.2,7/7/23 18:15,68.1,7/10/23 17:50,64.8,7/11/12 15:35,,,63.50,7/13/23 18:35,46.1,7/17/23 13:00,45.2,7/18/23 18:00,44.9,7/19/23 10:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP33,68.80,6/19/23 18:20,60.1,6/21/23 17:05,54.8,6/22/23 15:10,61.40,6/23/23 17:20,69.00,6/26/23 15:30,65,6/27/23 18:20,61.4,6/28/2023 18:00:00,67.20,6/29/23 18:10,69.50,7/3/23 16:30,65,7/5/23 11:00,70.30,7/6/23 17:50,65.7,7/7/23 18:15,71.5,7/10/23 17:50,68.8,7/11/12 15:35,,,70.40,7/13/23 18:35,71.70,7/17/23 13:00,67.4,7/18/23 18:00,,,69.90,7/20/23 15:00,49.7,7/24/23 16:50,48.8,7/25/23 17:50,48.4,7/26/23 14:47,,,,,,,,,,,,,,,,,,,,,,,,,
