"ID","sample06/19/23","Time06/19/23","sample06/21/23","Time06/21/23","sample06/22/23","Time06/22/23","sample06/23/23","Time06/23/23","sample06/26/23","Time06/26/23","sample06/27/23","Time06/27/23","sample06/28/23","Time06/28/23","sample06/29/23","Time06/29/23","sample07/03/23","Time07/03/23","sample07/05/23","Time07/05/23","sample07/06/23","Time07/06/23","sample07/07/23","Time07/07/23","sample07/10/23","Time07/10/23","sample07/11/23","Time07/11/23","sample07/12/23","Time07/12/23","sample07/13/23","Time07/13/23","sample07/17/23","Time07/17/23","sample07/18/23","Time07/18/23","sample07/19/23","Time07/19/23","sample07/20/23","Time07/20/23","sample07/24/23","Time07/24/23","sample07/25/23","Time07/25/23","sample07/26/23","Time07/26/23","sample07/27/23","Time07/27/23","sample07/31/23","Time07/31/23","sample08/01/23","Time08/01/23","sample08/02/23","Time08/02/23","sample08/03/23","Time08/03/23","sample08/07/23","Time08/07/23","sample08/08/23","Time08/08/23","sample08/09/23","Time08/09/23","sample08/10/23","Time08/10/23","sample08/14/23","Time08/14/23","sample08/15/23","Time08/15/23","sample08/16/24","Time08/16/25","Harvest Date"
"NM33",74.3,2023-06-19 18:20:00,67.1,2023-06-21 17:05:00,63.2,2023-06-22 17:00:00,69.1,2023-06-23 17:20:00,77.3,2023-06-26 15:30:00,73.1,2023-06-27 18:20:00,70,2023-06-28 14:30:00,76.7,2023-06-29 18:10:00,83.1,2023-07-03 16:30:00,76.3,2023-07-05 11:00:00,81,2023-07-06 17:50:00,76.8,2023-07-07 18:15:00,83.7,2023-07-10 17:50:00,79.9,2012-07-11 15:35:00,NA,NA,81.2,2023-07-13 18:35:00,86.8,2023-07-17 13:00:00,81.6,2023-07-18 18:00:00,NA,NA,83.8,2023-07-20 15:00:00,87.2,2023-07-24 16:50:00,NA,NA,NA,NA,84.3,2023-07-27 16:40:00,82.8,2023-07-31 17:40:00,78.1,2023-08-01 16:15:00,NA,NA,77.7,2023-08-03 16:00:00,78.5,2023-08-07 11:30:00,73.4,2023-08-08 15:42:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NM32",70,2023-06-19 18:20:00,63.1,2023-06-21 17:05:00,58.9,2023-06-22 17:00:00,65,2023-06-23 17:20:00,73.9,2023-06-26 15:30:00,69.5,2023-06-27 18:20:00,66.1,2023-06-28 14:30:00,71.6,2023-06-29 18:10:00,75.5,2023-07-03 16:30:00,69.6,2023-07-05 11:00:00,73.6,2023-07-06 17:50:00,69.3,2023-07-07 18:15:00,56.9,2023-07-10 17:50:00,54.1,2012-07-11 15:35:00,52.5,2023-07-12 10:07:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NM31",64.7,2023-06-19 18:20:00,59.5,2023-06-21 17:05:00,55.9,2023-06-22 17:00:00,61.7,2023-06-23 17:20:00,69.1,2023-06-26 15:30:00,64.3,2023-06-27 18:20:00,60.8,2023-06-28 14:30:00,66.1,2023-06-29 18:10:00,66.7,2023-07-03 16:30:00,60.1,2023-07-05 11:00:00,63.7,2023-07-06 17:50:00,60.6,2023-07-07 09:55:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NM29",67.4,2023-06-19 18:20:00,62.3,2023-06-21 17:05:00,58.4,2023-06-22 17:00:00,64.1,2023-06-23 17:20:00,71.7,2023-06-26 15:30:00,67,2023-06-27 18:20:00,63.4,2023-06-28 14:30:00,68.2,2023-06-29 18:10:00,70,2023-07-03 16:30:00,65.5,2023-07-05 11:00:00,70.4,2023-07-06 17:50:00,65.5,2023-07-07 18:15:00,NA,2023-07-10 17:50:00,51.3,2012-07-11 15:35:00,50.1,2023-07-12 09:45:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NM38",68.3,2023-06-19 18:20:00,62.7,2023-06-21 17:05:00,58.1,2023-06-22 17:00:00,63.6,2023-06-23 17:20:00,72.5,2023-06-26 15:30:00,68,2023-06-27 18:20:00,63.3,2023-06-28 15:30:00,66.9,2023-06-29 18:10:00,70.8,2023-07-03 16:30:00,67.5,2023-07-05 11:00:00,72.5,2023-07-06 17:50:00,67.5,2023-07-07 18:15:00,73.9,2023-07-10 17:50:00,71.2,2012-07-11 15:35:00,NA,NA,70.9,2023-07-13 18:35:00,51.8,2023-07-17 13:00:00,50,2023-07-18 18:00:00,49.5,2023-07-19 09:34:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NM37",68,2023-06-19 18:20:00,61.2,2023-06-21 17:05:00,57.8,2023-06-22 17:00:00,64.1,2023-06-23 17:20:00,74.2,2023-06-26 15:30:00,70.1,2023-06-27 18:20:00,67.1,2023-06-28 15:30:00,73.1,2023-06-29 18:10:00,76.5,2023-07-03 16:30:00,69,2023-07-05 11:00:00,73,2023-07-06 17:50:00,68.2,2023-07-07 18:15:00,73.9,2023-07-10 17:50:00,70,2012-07-11 15:35:00,NA,NA,70.5,2023-07-13 18:35:00,74.3,2023-07-17 13:00:00,68.9,2023-07-18 18:00:00,NA,NA,70.3,2023-07-20 15:00:00,72.6,2023-07-24 16:50:00,NA,NA,NA,NA,70,2023-07-27 16:40:00,71.3,2023-07-31 17:40:00,67.8,2023-08-01 16:15:00,NA,NA,69.6,2023-08-03 16:00:00,74.4,2023-08-07 11:30:00,NA,NA,NA,NA,70.8,2023-08-10 17:30:00,74.5,2023-08-14 16:30:00,70.9,2023-08-15 16:33:00,NA,NA,NA
"NM36",65.6,2023-06-19 18:20:00,59.3,2023-06-21 17:05:00,55.3,2023-06-22 17:00:00,61.3,2023-06-23 17:20:00,70.3,2023-06-26 15:30:00,65.9,2023-06-27 18:20:00,62.3,2023-06-28 15:30:00,67.4,2023-06-29 18:10:00,69.3,2023-07-03 16:30:00,63,2023-07-05 11:00:00,67.3,2023-07-06 17:50:00,62.5,2023-07-07 18:15:00,69.4,2023-07-10 17:50:00,66.2,2012-07-11 15:35:00,NA,NA,67.7,2023-07-13 18:35:00,70.6,2023-07-17 13:00:00,65.2,2023-07-18 18:00:00,NA,NA,66.4,2023-07-20 15:00:00,68,2023-07-24 16:50:00,NA,NA,NA,NA,66.8,2023-07-27 16:40:00,68.2,2023-07-31 17:40:00,65.2,2023-08-01 16:15:00,NA,NA,67,2023-08-03 16:00:00,50,2023-08-07 11:30:00,46.7,2023-08-08 17:30:00,45.9,2023-08-09 10:11:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NM35",71.5,2023-06-19 18:20:00,65.4,2023-06-21 17:05:00,61.6,2023-06-22 17:00:00,67.3,2023-06-23 17:20:00,75.9,2023-06-26 15:30:00,71.4,2023-06-27 18:20:00,68.3,2023-06-28 15:30:00,74.4,2023-06-29 18:10:00,76.5,2023-07-03 16:30:00,69.5,2023-07-05 11:00:00,73.3,2023-07-06 17:50:00,68.6,2023-07-07 18:15:00,73.3,2023-07-10 17:50:00,71.1,2012-07-11 15:35:00,NA,NA,72.1,2023-07-13 18:35:00,73.2,2023-07-17 13:00:00,67.2,2023-07-18 18:00:00,NA,NA,68.7,2023-07-20 15:00:00,69.1,2023-07-24 16:50:00,NA,NA,NA,NA,69.9,2023-07-27 16:40:00,69.7,2023-07-31 17:40:00,67.5,2023-08-01 09:45:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NM34",64.4,2023-06-19 18:20:00,60,2023-06-21 17:05:00,55.5,2023-06-22 17:00:00,60.5,2023-06-23 17:20:00,67.7,2023-06-26 15:30:00,63.2,2023-06-27 18:20:00,58.1,2023-06-28 16:00:00,62.2,2023-06-29 18:10:00,65.9,2023-07-03 16:30:00,63.2,2023-07-05 11:00:00,69,2023-07-06 17:50:00,64.2,2023-07-07 18:15:00,68.1,2023-07-10 17:50:00,64.8,2012-07-11 15:35:00,NA,NA,63.5,2023-07-13 18:35:00,46.1,2023-07-17 13:00:00,45.2,2023-07-18 18:00:00,44.9,2023-07-19 10:21:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SP33",68.8,2023-06-19 18:20:00,60.1,2023-06-21 17:05:00,54.8,2023-06-22 15:10:00,61.4,2023-06-23 17:20:00,69,2023-06-26 15:30:00,65,2023-06-27 18:20:00,61.4,2023-06-28 18:00:00,67.2,2023-06-29 18:10:00,69.5,2023-07-03 16:30:00,65,2023-07-05 11:00:00,70.3,2023-07-06 17:50:00,65.7,2023-07-07 18:15:00,71.5,2023-07-10 17:50:00,68.8,2012-07-11 15:35:00,NA,NA,70.4,2023-07-13 18:35:00,71.7,2023-07-17 13:00:00,67.4,2023-07-18 18:00:00,NA,NA,69.9,2023-07-20 15:00:00,49.7,2023-07-24 16:50:00,48.8,2023-07-25 17:50:00,48.4,2023-07-26 14:47:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
